CONGRUENT1,CONGRUENT11,CONGRUENT12,CONGRUENT14,CONGRUENT16,CONGRUENT18,CONGRUENT19,CONGRUENT2,CONGRUENT4,CONGRUENT6,CONGRUENT8,CONGRUENT9
0.635027,0.485902,0.686937,0.680901,0.630584,0.624792,0.606526,0.406146,0.612674,1.084598,0.389313,0.513651
0.606198,0.500256,0.542234,0.498781,0.520884,0.472025,0.544215,0.513647,0.603253,0.578486,0.611492,0.516346
0.799611,0.741095,0.630571,0.831723,0.638484,0.603463,0.717826,0.657867,0.8392,0.711959,0.702859,0.728361
0.76767,0.808764,0.585435,0.627714,0.670425,0.588611,0.586387,0.624996,0.687682,0.525164,1.119885,0.935705
0.891138,0.778759,0.746662,0.758067,0.57955,0.623931,0.746455,0.888493,0.749015,0.748607,0.867493,0.886896
1.103767,0.900691,0.804263,0.759733,0.832507,0.8251,0.807995,0.981937,1.068282,1.115935,0.832771,0.764236
1.146854,0.489171,0.691838,0.602835,0.656759,0.619063,0.760193,0.45988,0.548467,0.719614,0.763968,0.78626
1.28944,1.625341,0.895842,1.166306,1.186951,1.008715,1.024391,0.92194,2.394802,1.812728,1.98908,0.85058
0.436029,0.770077,0.831965,0.524827,0.353563,0.474633,0.445107,0.5227,0.387948,0.424185,0.443407,0.341288
1.352629,0.865422,0.824915,1.190619,1.218585,0.90498,0.676677,0.755361,1.254902,0.707582,1.28908,1.467454
0.496478,0.622723,0.68813,0.599217,0.660052,0.595245,0.524243,0.492106,0.550372,0.491878,0.670051,0.682859
1.136391,0.928665,0.75618,0.636306,0.746575,0.652517,0.7246,0.691877,0.737766,1.197178,0.832388,0.827943
0.606797,0.676103,0.634791,0.611753,0.671956,0.506027,0.575173,0.318842,0.759178,0.447211,0.587556,0.545474
0.879975,1.518783,1.218038,1.171176,0.652564,0.767292,1.324522,0.656381,2.242327,1.348779,1.157768,0.904844
0.524937,0.462654,0.483037,0.42217,0.335452,0.35163,0.383069,0.36103,0.719631,0.43482,0.526604,0.397288
1.717637,1.4087,1.966976,1.825041,2.44844,3.14177,1.70921,1.591167,1.428964,1.965757,1.084975,1.201883
0.349963,0.56512,1.141322,0.504675,0.742313,0.492855,0.413968,0.189405,0.481037,0.655489,0.335937,0.470042
1.324682,0.898287,0.630005,1.263724,1.149241,1.458211,0.833441,0.874857,1.326652,1.207685,1.099463,0.856321
1.032678,0.779411,0.815885,0.923802,1.286058,0.780595,0.791219,0.638126,0.769063,0.769984,0.793767,0.791571
0.700884,0.688447,1.223705,0.768516,1.41657,0.594168,0.850178,0.651893,0.562929,0.704724,0.783842,0.717343
0.501645,0.482013,0.512845,0.524517,0.572455,0.447595,0.604346,0.38471,0.572439,0.517786,0.625429,0.538895
0.984244,1.729837,1.553548,0.778415,0.760361,1.168503,0.619034,0.851942,1.181659,1.433361,1.191679,1.274699
2.402437,1.515486,1.027982,0.99581,1.7557,1.933827,1.355109,3.712672,1.97741,1.80817,1.527339,1.14532
0.971107,0.720772,0.191639,0.261473,0.217049,0.340787,0.299277,0.216243,0.239135,0.249125,0.305911,0.330434
0.83544,0.664087,0.585227,0.755334,0.621354,0.570396,0.492426,0.717076,0.693706,0.772889,1.013104,0.76271
0.983291,NA,NA,NA,NA,NA,NA,0.842508,0.844778,0.853435,0.813894,NA
0.953607,0.784566,0.774166,0.956506,0.675776,0.815938,0.821437,0.707148,0.770759,0.906652,0.769414,0.856819
1.096511,0.793475,0.746311,0.822339,0.736944,0.67479,0.747983,0.806379,1.181691,0.969437,0.749627,0.730192
1.011748,1.029974,1.74892,0.901162,0.986339,1.19631,1.250363,0.683669,1.086278,1.019426,1.186864,1.011591
0.625575,0.609139,0.621561,0.62193,0.709044,0.586401,0.799636,0.758436,0.667,0.762802,0.629991,0.551143
0.917795,0.877062,0.730357,0.702506,0.753385,0.609671,0.769438,0.782746,0.817567,0.88995,1.143283,1.034384
1.01311,0.839789,0.74016,0.70655,1.225397,0.638889,0.649987,0.822723,1.119626,0.926303,0.728864,0.810636
0.702779,0.680062,0.453627,0.490447,0.984422,0.428653,0.476942,0.670376,0.578066,0.718118,0.701306,0.710097
0.535181,0.697348,0.587627,1.338829,0.76098,0.731038,0.57173,0.492748,0.568529,0.656379,0.756049,0.574391
1.057056,0.715942,0.816666,0.91758,0.981139,0.752088,0.601835,0.751325,1.256335,1.014876,1.261868,0.766508
0.538762,0.677692,0.523117,0.580176,0.527269,0.440229,0.484099,0.407735,0.44123,0.641369,0.612605,0.614196
0.72372,1.237403,1.251685,0.578092,0.859908,0.546895,0.653129,0.874497,0.724839,0.846141,0.767565,0.70241
1.195993,0.812241,1.214908,0.687943,0.7152,0.478356,0.671343,0.733184,1.172725,0.621862,0.909463,0.724329
0.567486,0.953488,1.143942,1.058466,2.533468,0.616648,1.148691,0.652411,0.906373,0.843196,0.954851,0.986738
0.64725,0.709557,0.678552,0.555901,0.989177,0.691485,0.653598,0.675962,0.861126,0.941586,1.111931,0.523927
0.615932,0.730795,0.631073,0.667792,0.734435,0.700302,0.762535,0.603655,0.648995,0.707073,0.670836,0.602819
0.90356,0.881706,0.982994,0.716896,0.81754,0.57921,0.775285,0.434414,2.41522,2.040771,0.879981,0.653558
1.086375,0.663012,0.856291,0.73658,0.706842,0.733773,0.785997,0.877765,0.966651,0.922489,0.842564,0.7819
0.783865,0.708447,0.634792,0.730825,0.712554,0.834363,0.788799,0.754918,0.716443,0.74546,0.701791,0.705618
0.833859,0.516805,0.490753,0.601461,0.811588,0.897411,0.538605,0.638284,0.772956,0.764047,0.505181,0.623406
2.653806,1.569541,1.435684,1.101138,1.283968,1.405023,1.610674,1.928599,1.837393,1.897281,2.353581,1.69336
1.203905,2.171738,1.642244,1.57372,4.212305,1.206943,2.475734,1.215623,1.421318,1.252182,2.253462,1.352702
0.835581,0.59354,0.450735,0.483582,0.571112,0.569296,0.435319,0.472995,0.921138,0.6714,0.525994,0.54548
0.854388,0.632776,0.459058,0.262128,0.481886,0.466428,0.50415,0.63478,0.984709,0.404651,1.145245,0.717179
1.370534,1.228041,0.869838,1.830091,1.106957,0.755675,1.266568,0.81712,1.377573,0.821715,1.385495,1.273331
0.686697,0.688772,1.38448,0.754967,0.744373,0.616024,0.595031,0.618526,0.685626,0.746787,0.621802,0.615457
0.713717,0.553139,0.733402,0.757236,0.589091,0.588821,0.599561,0.776462,0.7622,0.716973,0.58801,0.612832
1.183728,0.598943,0.904162,0.743382,0.615477,0.908232,0.667134,1.060291,0.90536,0.639379,1.039422,0.655534
1.142682,0.719956,0.932724,0.712788,0.819494,1.361507,0.82871,0.962693,1.079273,0.890157,0.77252,0.681309
0.412404,0.430247,0.561863,0.326892,0.494649,0.635468,0.561005,0.395819,0.493092,0.375644,0.544643,0.295992
1.090301,0.886118,1.357237,0.958388,0.980068,0.800985,0.746594,0.968955,1.831365,0.821673,1.148231,0.976397
0.667742,NA,NA,NA,NA,NA,NA,0.47013,0.223044,3.854905,NA,NA
0.635487,0.542181,0.547836,0.681272,0.638983,0.646065,1.049144,0.618811,0.571854,0.58945,0.613421,0.706373
0.579013,0.64592,0.802579,0.739128,0.599296,0.670898,0.649417,0.543899,0.823346,0.636195,0.663228,0.650011
0.799232,0.859594,0.852889,0.878389,0.888692,0.632561,0.93481,0.612102,0.935227,0.935279,0.91526,0.840415
0.828759,0.628032,0.508398,0.699569,0.691136,0.658418,0.689856,0.587514,0.687022,0.6875,0.724932,0.744568
1.169895,0.993138,0.806764,0.904432,1.299718,1.055565,1.246564,0.771284,1.07586,1.100451,1.267892,1.076012
0.532626,0.62949,0.47548,0.536285,0.489205,0.675785,0.910022,0.418066,0.573931,0.565366,0.762651,0.561511
0.571086,0.784251,0.70061,0.965849,0.864015,0.615145,0.927169,0.5244,0.703955,0.912495,0.876664,0.636102
0.783374,0.675211,0.62112,0.705051,0.558645,0.646593,0.799398,0.563742,0.629504,0.684053,0.850514,0.658146
0.951691,1.656202,0.872146,0.744807,0.709589,0.639998,0.685664,0.622443,1.991147,1.717905,1.021408,1.873679
7.038362,0.436284,0.382166,1.55655,1.304955,0.439951,0.561091,0.461309,0.549933,0.407267,0.592134,0.916495
0.673198,0.725783,0.733744,0.703559,0.701528,0.683138,0.700443,0.6081,0.779694,0.713898,0.841826,0.973685
0.739562,0.870048,0.666086,0.638971,0.711283,0.373167,0.53328,0.495042,0.695151,0.848534,0.830229,0.699661
1.086028,0.606793,0.624248,0.556773,0.355551,0.296709,0.430833,0.596069,0.928422,0.74554,0.703528,0.694636
0.81675,0.624141,0.704598,0.973593,0.752919,0.668352,0.686225,1.08428,0.944573,1.006794,0.717451,0.685244
