1MM0,1MM1,1MM2,1MM3,1MM4,1MM5,1MM6,1MM7,1MM8,1MM9,2MM0,2MM1,2MM2,2MM3,2MM4,2MM5,2MM6,2MM7,2MM8,2MM9
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1
1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
