1MM0,1MM1,1MM2,1MM3,1MM4,1MM5,1MM6,1MM7,1MM8,1MM9,2MM0,2MM1,2MM2,2MM3,2MM4,2MM5,2MM6,2MM7,2MM8,2MM9
0.88,0.729,2,0.647,1.23,1.665,0.629,1.882,1.03,1.097,0.613,0.547,0.796,0.863,0.413,0.912,0.613,0.596,0.764,0.647
1.447,2,0.946,0.847,1.881,0.812,1.197,0.729,0.846,2,1.598,1.214,1.983,1.498,1.014,1.047,0.68,0.646,1.431,0.88
1.147,0.863,1.565,1.213,1.564,0.88,2,0.813,1.194,0.813,1.331,1.163,1.147,2,0.913,0.462,1.064,0.813,0.93,1.481
1.097,1.681,1.214,2,1.063,1.196,0.947,1.548,1.665,1.13,1.248,0.662,0.645,0.662,1.415,0.783,0.528,0.58,0.63,0.579
0.796,1.398,1.347,0.88,1.865,0.781,0.796,0.796,0.796,0.812,1.598,2,2,1.28,0.88,0.896,1.849,1.08,0.595,0.613
2,2,2,2,2,2,2,2,2,2,0.846,2,2,2,2,2,2,2,2,2
2,1.548,0.778,1.248,1.047,0.847,0.662,0.997,0.963,1.297,1.013,1.247,0.813,0.713,0.747,1.231,0.812,0.863,0.647,0.815
0.712,0.646,0.528,2,1.213,2,2,2,2,2,0.796,0.413,0.678,0.964,0.497,2,0.83,2,2,2
1.547,1.315,1.364,1.464,1.246,1.13,1.147,1.047,1.348,0.998,2,2,1.449,0.714,0.579,0.681,1.082,0.613,0.68,0.764
2,0.863,1.565,0.713,0.563,1.949,1.248,1.364,0.528,0.746,1.014,1.715,2,0.562,0.545,0.579,0.379,0.562,1.332,0.83
1.43,1.348,1.782,1.748,2,1.797,0.763,1.332,1.446,0.78,1.18,2,1.03,0.68,1.247,1.633,0.763,1.416,1.231,1.332
0.312,0.896,0.395,0.211,0.395,0.411,0.829,2,0.48,0.462,0.261,0.947,0.312,0.378,0.479,0.229,0.362,0.346,0.981,0.462
2,1.029,2,1.366,0.879,1.063,1.415,2,2,1.398,1.013,1.598,2,1.132,1.649,1.883,1.266,1.163,1.031,2
0.379,1.449,0.613,0.847,0.428,0.645,1.047,0.379,1.081,0.629,0.312,0.144,0.478,0.446,0.713,0.864,0.296,0.446,2,0.278
