x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
4.444,2.328,3.408,5.134,2.653,2.607,3.126,2.869,3.271,5.447
4.508,4.424,NaN,5.745,4.169,3.187,4.721,3.056,4.404,3.867
1.7,1.205,1.216,1.265,3.109,1.04,1.244,1.743,1.842,1.377
1.636,2.63,1.454,2.599,1.812,2.007,1.644,2.253,1.3,2.424
2.569,1.65,2.514,4.2,1.362,2.114,1.89,1.683,1.633,2.262
4.623,3.021,3.205,4.62,2.036,2.015,2.905,2.539,3.488,NaN
4.127,1.677,4.554,1.729,2.808,1.098,2.007,5.225,2.159,2.429
2.468,5.723,4.204,3.967,3.049,2.926,4.487,1.552,2.048,3.31
1.451,3.219,2.421,1.658,1.64,1.895,1.507,0.965,3.049,1.761
3.813,3.263,3.149,3.706,2.185,3.126,1.806,1.542,2.25,5.18
1.477,0.997,1.508,2.175,0.936,1.013,1.574,0.966,1.203,2.07
3.931,4.766,3.816,4.862,5.144,4.028,5.581,3.964,4.697,5.366
0.979,0.839,1.387,1.905,1.601,1.258,1.365,0.756,1.063,2.455
1.775,1.98,2.964,2.856,1.693,1.917,4.554,1.663,2.97,3.671
2.207,1.249,2.033,1.987,1.59,1.852,2.36,1.481,2.413,4.137
2.497,2.741,1.694,1.501,2.497,2.436,3.698,1.968,3.435,3.233
1.198,2.528,2.294,NaN,1.301,1.955,1.985,1.469,2.744,3.099
3.034,3.206,2.661,5.497,2.257,3.215,2.95,1.79,2.55,2.019
1.334,1.176,0.882,2.88,1.363,1.048,1.366,0.821,1.38,3.239
3.645,2.77,5.889,5.957,NaN,NaN,3.749,3.256,4.036,5.698
1.493,1.317,2.28,4.48,2.002,1.729,1.722,1.215,1.24,3.037
2.27,4.243,1.489,5.205,1.469,1.835,1.843,1.387,3.416,2.121
1.506,1.005,4.605,3.066,1.7,3.543,2.575,0.909,3.851,2.157
4.288,4.818,3.156,4.209,2.12,3.14,2.436,3.218,2.893,5.965
1.688,1.841,3.079,2.767,1.481,2.238,1.727,1.305,1.241,2.332
5.629,3.253,4.592,NaN,3.565,2.92,3.897,3.268,NaN,4.624
1.652,2.921,2.939,2.776,2.408,2.12,4.262,1.319,3.321,5.383
2.469,1.932,2.369,4.382,4.126,3.656,2.859,4.467,NaN,2.17
